trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,de22.,*STERCULIA 80% granules,*STERCULIA 80% granules,*STERCULIA 80% granules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Gastro-Intestinal Anti-Obesity Drugs | Mapped BNF code: 04.05.01.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,de2z.,*STERCULIA 55% granules,*STERCULIA 55% granules,*STERCULIA 55% granules,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Gastro-Intestinal Anti-Obesity Drugs | Mapped BNF code: 04.05.01.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df...,CENTRAL APPETITE SUPPRESSANTS,CENTRAL APPETITE SUPPRESSANTS,CENTRAL APPETITE SUPPRESSANTS,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df1..,DIETHYLPROPION HYDROCHLORIDE,DIETHYLPROPION HYDROCHLORIDE,DIETHYLPROPION HYDROCHLORIDE,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df11.,*APISATE m/r tablets,*APISATE m/r tablets,*APISATE m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df12.,TENUATE DOSPAN 75mg m/r tablets,TENUATE DOSPAN 75mg m/r tablets,TENUATE DOSPAN 75mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df13.,DIETHYLPROPION HCL + VITAMINS 75mg m/r tablets,DIETHYLPROPION HCL + VITAMINS 75mg m/r tablets,DIETHYLPROPION HCL + VITAMINS 75mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df1x.,DIETHYLPROPION HYDROCHLORIDE 25mg tablets,DIETHYLPROPION HYDROCHLORIDE 25mg tablets,DIETHYLPROPION HYDROCHLORIDE 25mg tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df1y.,DIETHYLPROPION HYDROCHLORIDE m/r tablets,DIETHYLPROPION HYDROCHLORIDE m/r tablets,DIETHYLPROPION HYDROCHLORIDE m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,df1z.,DIETHYLPROPION HYDROCHLORIDE 75mg m/r tablets,DIETHYLPROPION HYDROCHLORIDE 75mg m/r tablets,DIETHYLPROPION HYDROCHLORIDE 75mg m/r tablets,core,prescription_exposure,not applicable,read_v2_drugs_bnf,Centrally-Acting Appetite Suppressants | Mapped BNF code: 04.05.02.00,candidate_requires_pharmacology_review
