trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
thyroid.free_t4.read_v2,thyroid,free_t4,read_v2,gp_clinical,read_2,exact,true,4427.,Free T4 level,Free T4 level,Free T4 level,core,numeric_candidate,pmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
thyroid.free_t4.read_v2,thyroid,free_t4,read_v2,gp_clinical,read_2,exact,true,442V.,Serum free T4 level,Serum free T4 level,Serum free T4 level,core,numeric_candidate,pmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
thyroid.free_t4.read_v2,thyroid,free_t4,read_v2,gp_clinical,read_2,exact,true,442c.,Plasma free T4 level,Plasma free T4 level,Plasma free T4 level,core,numeric_candidate,pmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
