trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000G0,Chondroitin  Sulphate A,Chondroitin  Sulphate A,Chondroitin  Sulphate A,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000I0,Clofibrate,Clofibrate,Clofibrate,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000J0,Ispaghula Husk,Ispaghula Husk,Ispaghula Husk,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000K0,Colestipol Hydrochloride,Colestipol Hydrochloride,Colestipol Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000L0,Ezetimibe,Ezetimibe,Ezetimibe,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000M0,Fluvastatin Sodium,Fluvastatin Sodium,Fluvastatin Sodium,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000N0,Dextrothyroxine Sodium,Dextrothyroxine Sodium,Dextrothyroxine Sodium,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000P0,Fenofibrate,Fenofibrate,Fenofibrate,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000Q0,Gemfibrozil,Gemfibrozil,Gemfibrozil,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000R0,Lovastatin,Lovastatin,Lovastatin,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000S0,Nicofuranose,Nicofuranose,Nicofuranose,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000U0,Nicotinic Acid,Nicotinic Acid,Nicotinic Acid,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000V0,Omega-3 Marine Triglycerides,Omega-3 Marine Triglycerides,Omega-3 Marine Triglycerides,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000W0,Probucol,Probucol,Probucol,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000X0,Pravastatin Sodium,Pravastatin Sodium,Pravastatin Sodium,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000Y0,Simvastatin,Simvastatin,Simvastatin,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,0212000Z0,Sitosterol,Sitosterol,Sitosterol,core,prescription_exposure,not applicable,bnf_lkp,Lipid-Regulating Drugs | Lipid-Regulating Drugs | Lipid-Regulating Drugs | Cardiovascular System,candidate_requires_pharmacology_review
