trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
metabolic.vitamin_d.read_v2,metabolic,vitamin_d,read_v2,gp_clinical,read_2,exact,true,44LM.,Plasma 25-Hydroxyvitamin D3 level,Plasma 25-Hydroxyvitamin D3 level,Plasma 25-Hydroxyvitamin D3 level,core,numeric_candidate,nmol/L; prefer total 25-hydroxyvitamin D,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.vitamin_d.read_v2,metabolic,vitamin_d,read_v2,gp_clinical,read_2,exact,true,44Ln.,Serum 25-Hydroxyvitamin D2 level,Serum 25-Hydroxyvitamin D2 level,Serum 25-Hydroxyvitamin D2 level,core,numeric_candidate,nmol/L; prefer total 25-hydroxyvitamin D,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.vitamin_d.read_v2,metabolic,vitamin_d,read_v2,gp_clinical,read_2,exact,true,44LA.,Serum vitamin D,Serum vitamin D,Serum vitamin D,extended_review,numeric_candidate,nmol/L; prefer total 25-hydroxyvitamin D,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.vitamin_d.read_v2,metabolic,vitamin_d,read_v2,gp_clinical,read_2,exact,true,44Lg.,Serum vitamin D2 level,Serum vitamin D2 level,Serum vitamin D2 level,extended_review,numeric_candidate,nmol/L; prefer total 25-hydroxyvitamin D,read_v2_lkp,00,candidate_requires_clinical_review
