trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
haematology.red_cell_distribution_width.ctv3,haematology,red_cell_distribution_width,ctv3,gp_clinical,read_3,exact,true,.42Z7,Red blood cell distribut width,Red blood cell distribution width (& level) | Red blood cell distribution width | Red blood cell distribut width,Red blood cell distribution width (& level) | Red blood cell distribution width | Red blood cell distribut width,core,numeric_candidate,%,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.red_cell_distribution_width.ctv3,haematology,red_cell_distribution_width,ctv3,gp_clinical,read_3,exact,true,42Z7.,Red blood cell distribut width,Red blood cell distribution width (& level) | Red blood cell distribution width | Red blood cell distribut width,Red blood cell distribution width (& level) | Red blood cell distribution width | Red blood cell distribut width,core,numeric_candidate,%,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.red_cell_distribution_width.ctv3,haematology,red_cell_distribution_width,ctv3,gp_clinical,read_3,exact,true,X76ta,RDW - Red blood cell distribution width,Red blood cell distribution width | RDW - Red blood cell distribution width,Red blood cell distribution width | RDW - Red blood cell distribution width,core,numeric_candidate,%,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.red_cell_distribution_width.ctv3,haematology,red_cell_distribution_width,ctv3,gp_clinical,read_3,exact,true,XE2mO,RDW - Red blood cell distribution width,Red blood cell distribution width | RDW - Red blood cell distribution width,Red blood cell distribution width | RDW - Red blood cell distribution width,core,numeric_candidate,%,read_ctv3_lkp,P,candidate_requires_clinical_review
