trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
glycaemia.insulin.ctv3,glycaemia,insulin,ctv3,gp_clinical,read_3,exact,true,.449D,Plasma insulin level,Plasma insulin level,core,numeric_candidate,mU/L or pmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.insulin.ctv3,glycaemia,insulin,ctv3,gp_clinical,read_3,exact,true,449D.,Plasma insulin level,Plasma insulin level,core,numeric_candidate,mU/L or pmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.insulin.ctv3,glycaemia,insulin,ctv3,gp_clinical,read_3,exact,true,XE2pp,Serum insulin level,Serum insulin level,core,numeric_candidate,mU/L or pmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.insulin.ctv3,glycaemia,insulin,ctv3,gp_clinical,read_3,exact,true,XaItV,Plasma insulin level,Plasma insulin level,core,numeric_candidate,mU/L or pmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
