trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
thyroid.tsh.read_v2,thyroid,tsh,read_v2,gp_clinical,read_2,exact,true,442A.,TSH - thyroid stim. hormone,TSH - thyroid stim. hormone,TSH - thyroid stim. hormone,core,numeric_candidate,mIU/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
thyroid.tsh.read_v2,thyroid,tsh,read_v2,gp_clinical,read_2,exact,true,442W.,Serum TSH level,Serum TSH level,Serum TSH level,core,numeric_candidate,mIU/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
thyroid.tsh.read_v2,thyroid,tsh,read_v2,gp_clinical,read_2,exact,true,442X.,Plasma TSH level,Plasma TSH level,Plasma TSH level,core,numeric_candidate,mIU/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
thyroid.tsh.read_v2,thyroid,tsh,read_v2,gp_clinical,read_2,exact,true,442A0,Serum TSH level normal,Serum TSH level normal,Serum TSH level normal,extended_review,numeric_candidate,mIU/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
thyroid.tsh.read_v2,thyroid,tsh,read_v2,gp_clinical,read_2,exact,true,442A1,Serum TSH level abnormal,Serum TSH level abnormal,Serum TSH level abnormal,extended_review,numeric_candidate,mIU/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
