trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaIwj,Standing systolic blood pressure,Standing systolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaJ2E,Sitting systolic blood pressure,Sitting systolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaJ2G,Lying systolic blood pressure,Lying systolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaKFx,Average home systolic blood pressure,Average home systolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaKjF,Ambulatory systolic blood pressure,Ambulatory systolic blood pressure,core,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,246j.,Systolic blood pressure centile,Systolic blood pressure centile,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,246n1,Baseline systolic blood pressure,Baseline systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,246o0,Non-invasive central systolic blood pressure,Non-invasive central systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,X779Q,Non-invasive systolic blood pressure,Non-invasive systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,S,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,X779R,Invasive systolic blood pressure,Invasive systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,S,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XM02X,Systolic blood pressure,Systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaF4D,Minimum systolic blood pressure,Minimum systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaF4E,Maximum systolic blood pressure,Maximum systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaF4G,Minimum day interval systolic blood pressure,Minimum day interval systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaF4H,Minimum night interval systolic blood pressure,Minimum night interval systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaF4I,Maximum night interval systolic blood pressure,Maximum night interval systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaF4J,Maximum day interval systolic blood pressure,Maximum day interval systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaF4M,Minimum 24 hour systolic blood pressure,Minimum 24 hour systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaF4N,Maximum 24 hour systolic blood pressure,Maximum 24 hour systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaF4d,24 hour systolic blood pressure,24 hour systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,XaYg9,Systolic blood pressure centile,Systolic blood pressure centile,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,Xac5L,Baseline systolic blood pressure,Baseline systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,Xaedo,Non-invasive central systolic blood pressure,Non-invasive central systolic blood pressure,extended_review,numeric_candidate,mmHg,read_ctv3_lkp,P,candidate_requires_clinical_review
