trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
lipids.ldl_cholesterol.read_v2,lipids,ldl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44P6.,Serum LDL cholesterol level,Serum LDL cholesterol level,Serum LDL cholesterol level,core,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
lipids.ldl_cholesterol.read_v2,lipids,ldl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44PD.,Serum fasting LDL cholesterol level,Serum fasting LDL cholesterol level,Serum fasting LDL cholesterol level,core,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
lipids.ldl_cholesterol.read_v2,lipids,ldl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44PE.,Serum random LDL cholesterol level,Serum random LDL cholesterol level,Serum random LDL cholesterol level,core,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
lipids.ldl_cholesterol.read_v2,lipids,ldl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44PI.,Calculated LDL cholesterol level,Calculated LDL cholesterol level,Calculated LDL cholesterol level,core,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
lipids.ldl_cholesterol.read_v2,lipids,ldl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44d4.,Plasma random LDL cholesterol level,Plasma random LDL cholesterol level,Plasma random LDL cholesterol level,core,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
lipids.ldl_cholesterol.read_v2,lipids,ldl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44d5.,Plasma fasting LDL cholesterol level,Plasma fasting LDL cholesterol level,Plasma fasting LDL cholesterol level,core,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
lipids.ldl_cholesterol.read_v2,lipids,ldl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44dB.,Plasma LDL cholesterol level,Plasma LDL cholesterol level,Plasma LDL cholesterol level,core,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
