code	description	recommended_use
.4427	FT4 - Free thyroxine level	DEFAULT - use as a direct numeric free t4 measurement; verify the recorded unit.
.442V	Serum free thyroxine level	DEFAULT - use as a direct numeric free t4 measurement; verify the recorded unit.
.442c	Plasma free thyroxine level	DEFAULT - use as a direct numeric free t4 measurement; verify the recorded unit.
4427.	FT4 - Free thyroxine level	DEFAULT - use as a direct numeric free t4 measurement; verify the recorded unit.
442V.	Serum free thyroxine level	DEFAULT - use as a direct numeric free t4 measurement; verify the recorded unit.
442c.	Plasma free thyroxine level	DEFAULT - use as a direct numeric free t4 measurement; verify the recorded unit.
XaERr	Serum free thyroxine level	DEFAULT - use as a direct numeric free t4 measurement; verify the recorded unit.
XaERs	Plasma free thyroxine level	DEFAULT - use as a direct numeric free t4 measurement; verify the recorded unit.
