trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
metabolic.calcium.read_v2,metabolic,calcium,read_v2,gp_clinical,read_2,exact,true,44I8.,Serum calcium,Serum calcium,Serum calcium,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.calcium.read_v2,metabolic,calcium,read_v2,gp_clinical,read_2,exact,true,44IC.,Adjusted serum calcium level,Corrected serum calcium level | Adjusted serum calcium level,Corrected serum calcium level | Adjusted serum calcium level,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.calcium.read_v2,metabolic,calcium,read_v2,gp_clinical,read_2,exact,true,44h7.,Plasma calcium level,Plasma calcium level,Plasma calcium level,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.calcium.read_v2,metabolic,calcium,read_v2,gp_clinical,read_2,exact,true,44h9.,Plasma corrected calcium level,Plasma corrected calcium level,Plasma corrected calcium level,core,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.calcium.read_v2,metabolic,calcium,read_v2,gp_clinical,read_2,exact,true,44I80,Normal serum calcium level,Normal serum calcium level,Normal serum calcium level,extended_review,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.calcium.read_v2,metabolic,calcium,read_v2,gp_clinical,read_2,exact,true,44I81,Raised serum calcium level,Raised serum calcium level,Raised serum calcium level,extended_review,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.calcium.read_v2,metabolic,calcium,read_v2,gp_clinical,read_2,exact,true,44IC0,Serum adjusted calcium concentration,Serum adjusted calcium concentration,Serum adjusted calcium concentration,extended_review,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.calcium.read_v2,metabolic,calcium,read_v2,gp_clinical,read_2,exact,true,44h90,Plasma adjusted calcium concentration,Plasma adjusted calcium concentration,Plasma adjusted calcium concentration,extended_review,numeric_candidate,mmol/L; distinguish corrected and uncorrected,read_v2_lkp,00,candidate_requires_clinical_review
