trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44g1.,Plasma fasting glucose level,Plasma fasting glucose level,Plasma fasting glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44g3.,30 minute plasma glucose level,30 minute plasma glucose level,30 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44g4.,60 minute plasma glucose level,60 minute plasma glucose level,60 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44g5.,90 minute plasma glucose level,90 minute plasma glucose level,90 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44g6.,120 minute plasma glucose level,120 minute plasma glucose level,120 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44g7.,150 minute plasma glucose level,150 minute plasma glucose level,150 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44g8.,240 minute plasma glucose level,240 minute plasma glucose level,240 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44g9.,300 minute plasma glucose level,300 minute plasma glucose level,300 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,44gA.,180 minute plasma glucose level,180 minute plasma glucose level,180 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
glycaemia.blood_glucose.read_v2,glycaemia,blood_glucose,read_v2,gp_clinical,read_2,exact,true,R10D.,[D]Elevated blood glucose level,[D]Elevated blood glucose level,[D]Elevated blood glucose level,extended_review,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
