trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
metabolic.urate.read_v2,metabolic,urate,read_v2,gp_clinical,read_2,exact,true,44K..,Serum uric acid,Serum uric acid,Blood urate | Serum uric acid,core,numeric_candidate,umol/L; verify source unit,read_v2_lkp,11,candidate_requires_clinical_review
metabolic.urate.read_v2,metabolic,urate,read_v2,gp_clinical,read_2,exact,true,44K5.,Serum urate level,Serum urate level,Serum urate level,core,numeric_candidate,umol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.urate.read_v2,metabolic,urate,read_v2,gp_clinical,read_2,exact,true,44K6.,Plasma urate level,Plasma urate level,Plasma urate level,core,numeric_candidate,umol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
