trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
metabolic.urate.ctv3,metabolic,urate,ctv3,gp_clinical,read_3,exact,true,.44K.,Serum uric acid level,Serum uric acid level,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,S,candidate_requires_clinical_review
metabolic.urate.ctv3,metabolic,urate,ctv3,gp_clinical,read_3,exact,true,.44K5,Serum uric acid level,Serum urate level | Serum uric acid level,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.urate.ctv3,metabolic,urate,ctv3,gp_clinical,read_3,exact,true,.44K6,Plasma urate level,Plasma urate level,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.urate.ctv3,metabolic,urate,ctv3,gp_clinical,read_3,exact,true,44K..,Serum uric acid,(Blood urate) or (serum uric acid) | Serum uric acid,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.urate.ctv3,metabolic,urate,ctv3,gp_clinical,read_3,exact,true,44K5.,Serum uric acid level,Serum urate level | Serum uric acid level,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.urate.ctv3,metabolic,urate,ctv3,gp_clinical,read_3,exact,true,44K6.,Plasma urate level,Plasma urate level,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.urate.ctv3,metabolic,urate,ctv3,gp_clinical,read_3,exact,true,XE2p3,Serum uric acid level,Serum uric acid level,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,S,candidate_requires_clinical_review
metabolic.urate.ctv3,metabolic,urate,ctv3,gp_clinical,read_3,exact,true,XM0ls,Serum uric acid level,Serum urate level | Serum uric acid level,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.urate.ctv3,metabolic,urate,ctv3,gp_clinical,read_3,exact,true,XM1Uq,Serum uric acid,Serum uric acid,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.urate.ctv3,metabolic,urate,ctv3,gp_clinical,read_3,exact,true,XaDvn,Plasma urate level,Plasma urate level,core,numeric_candidate,umol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
