trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,.229.,O/E - height,O/E - height,core,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,229..,O/E - height,O/E - height,core,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,X76Bs,Body height,Body height,core,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,.2291,O/E - height greater than 20% below average,O/E - height greater than 20% below average,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,.2292,O/E - height 10-20% below average,O/E - height 10-20% below average,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,.2293,O/E -height within 10% average,O/E -height within 10% average,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,.2294,O/E-height 10-20% over average,O/E-height 10-20% over average,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,.2295,O/E - height greater than 20% over average,O/E - height greater than 20% over average,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,.229Z,O/E - height NOS,O/E - height NOS,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,2291.,O/E - height greater than 20% below average,O/E - height greater than 20% below average,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,2292.,O/E - height 10-20% below average,O/E - height 10-20% below average,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,2293.,O/E -height within 10% average,O/E -height within 10% average,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,2294.,O/E-height 10-20% over average,O/E-height 10-20% over average,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,2295.,O/E - height greater than 20% over average,O/E - height greater than 20% over average,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,229Z.,O/E - height NOS,O/E - height NOS,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,8IHM.,Body height measurement declined,Body height measurement declined,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,9NSZ.,Unsuitable for body height measurement,Unsuitable for body height measurement,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,Xa7wF,Observation of measures of body height and growth,Observation of measures of body height and growth,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,Xaef4,Body height measurement declined,Body height measurement declined,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,XaesF,Unsuitable for body height measurement,Unsuitable for body height measurement,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.body_height.ctv3,anthropometry,body_height,ctv3,gp_clinical,read_3,exact,true,XafRh,Body height growth rate,Body height growth rate,extended_review,numeric_candidate,cm or m; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
