trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44P.,Serum cholesterol,Serum cholesterol (& level) | Serum cholesterol,Serum cholesterol (& level) | Serum cholesterol | Cholesterol - serum,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44PH,Total cholesterol measurement,Total cholesterol measurement,Total cholesterol measurement,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,44P..,Serum cholesterol,Serum cholesterol (& level) | Serum cholesterol,Serum cholesterol (& level) | Serum cholesterol | Cholesterol - serum,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,44PH.,Total cholesterol measurement,Total cholesterol measurement,Total cholesterol measurement,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,XE2eD,Serum cholesterol,Serum cholesterol level | Serum cholesterol,Serum cholesterol level | Serum cholesterol,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,XSK14,Total cholesterol measurement,Total cholesterol measurement,Total cholesterol measurement,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,Xa86v,Total cholesterol,Total cholesterol,Total cholesterol,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44OE,Plasma total cholesterol level,Plasma total cholesterol level,Plasma total cholesterol level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44P1,Serum cholesterol normal,Serum cholesterol normal,Serum cholesterol normal,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44P2,Serum cholesterol borderline,Serum cholesterol borderline,Serum cholesterol borderline,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44P3,Serum cholesterol raised,Serum cholesterol raised,Serum cholesterol raised,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44P4,Serum cholesterol very high,Serum cholesterol very high,Serum cholesterol very high,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44P9,Serum cholesterol studies,Serum cholesterol studies,Serum cholesterol studies,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44PJ,Serum total cholesterol level,Serum total cholesterol level,Serum total cholesterol level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44PK,Serum fasting total cholesterol,Serum fasting total cholesterol,Serum fasting total cholesterol,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,.44PZ,Serum cholesterol NOS,Serum cholesterol NOS,Serum cholesterol NOS,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,.662a,Pre-treatment serum cholesterol level,Pre-treatment serum cholesterol level,Pre-treatment serum cholesterol level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,44OE.,Plasma total cholesterol level,Plasma total cholesterol level,Plasma total cholesterol level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,44P1.,Serum cholesterol normal,Serum cholesterol normal,Serum cholesterol normal,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,44P2.,Serum cholesterol borderline,Serum cholesterol borderline,Serum cholesterol borderline,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,44P3.,Serum cholesterol raised,Serum cholesterol raised,Serum cholesterol raised,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
