trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
anthropometry.waist_circumference.read_v2,anthropometry,waist_circumference,read_v2,gp_clinical,read_2,exact,true,22N0.,Waist circumference,Waist circumference,core,numeric_candidate,cm; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
anthropometry.waist_circumference.read_v2,anthropometry,waist_circumference,read_v2,gp_clinical,read_2,exact,true,22N00,Baseline waist circumference,Baseline waist circumference,core,numeric_candidate,cm; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
anthropometry.waist_circumference.read_v2,anthropometry,waist_circumference,read_v2,gp_clinical,read_2,exact,true,22N8.,Abdominal circumference,Abdominal circumference,core,numeric_candidate,cm; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
