trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
renal.urea.read_v2,renal,urea,read_v2,gp_clinical,read_2,exact,true,44J..,Serum urea level,Serum urea level,Blood urea/renal function | Urea - blood | Urea and electrolytes | Serum urea level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,13,candidate_requires_clinical_review
renal.urea.read_v2,renal,urea,read_v2,gp_clinical,read_2,exact,true,44J9.,Serum urea level,Serum urea level,Serum urea level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
renal.urea.read_v2,renal,urea,read_v2,gp_clinical,read_2,exact,true,44JA.,Plasma urea level,Plasma urea level,Plasma urea level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
