trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
metabolic.phosphate.ctv3,metabolic,phosphate,ctv3,gp_clinical,read_3,exact,true,.44I9,Serum inorganic phosphate (& level),Serum inorganic phosphate (& level) | Serum inorganic phosphate,Serum inorganic phosphate (& level) | Serum inorganic phosphate | Phosphate -inorg.-serum,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.phosphate.ctv3,metabolic,phosphate,ctv3,gp_clinical,read_3,exact,true,.44i2,Plasma inorganic phosphate level,Plasma inorganic phosphate level,Plasma inorganic phosphate level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.phosphate.ctv3,metabolic,phosphate,ctv3,gp_clinical,read_3,exact,true,44I9.,Serum inorganic phosphate (& level),Serum inorganic phosphate (& level) | Serum inorganic phosphate,Serum inorganic phosphate (& level) | Serum inorganic phosphate | Phosphate -inorg.-serum,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.phosphate.ctv3,metabolic,phosphate,ctv3,gp_clinical,read_3,exact,true,44i2.,Plasma inorganic phosphate level,Plasma inorganic phosphate level,Plasma inorganic phosphate level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.phosphate.ctv3,metabolic,phosphate,ctv3,gp_clinical,read_3,exact,true,XE2q4,Serum inorganic phosphate level,Serum inorganic phosphate level | Serum inorganic phosphate,Serum inorganic phosphate level | Serum inorganic phosphate,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.phosphate.ctv3,metabolic,phosphate,ctv3,gp_clinical,read_3,exact,true,XaItO,Plasma inorganic phosphate level,Plasma inorganic phosphate level,Plasma inorganic phosphate level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.phosphate.ctv3,metabolic,phosphate,ctv3,gp_clinical,read_3,exact,true,44I90,Serum phosphate level normal,Serum phosphate level normal,Serum phosphate level normal,extended_review,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
metabolic.phosphate.ctv3,metabolic,phosphate,ctv3,gp_clinical,read_3,exact,true,44I91,Serum phosphate level abnormal,Serum phosphate level abnormal,Serum phosphate level abnormal,extended_review,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
