trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
metabolic.phosphate.read_v2,metabolic,phosphate,read_v2,gp_clinical,read_2,exact,true,44i2.,Plasma inorganic phosphate level,Plasma inorganic phosphate level,Plasma inorganic phosphate level,core,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.phosphate.read_v2,metabolic,phosphate,read_v2,gp_clinical,read_2,exact,true,44I9.,Serum inorganic phosphate,Serum inorganic phosphate,Serum inorganic phosphate,extended_review,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.phosphate.read_v2,metabolic,phosphate,read_v2,gp_clinical,read_2,exact,true,44I90,Serum phosphate level normal,Serum phosphate level normal,Serum phosphate level normal,extended_review,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
metabolic.phosphate.read_v2,metabolic,phosphate,read_v2,gp_clinical,read_2,exact,true,44I91,Serum phosphate level abnormal,Serum phosphate level abnormal,Serum phosphate level abnormal,extended_review,numeric_candidate,mmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
