trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
anthropometry.hip_circumference.ctv3,anthropometry,hip_circumference,ctv3,gp_clinical,read_3,exact,true,.22N6,Hip circumference,Hip circumference,Hip circumference,core,numeric_candidate,cm; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.hip_circumference.ctv3,anthropometry,hip_circumference,ctv3,gp_clinical,read_3,exact,true,22N6.,Hip circumference,Hip circumference,Hip circumference,core,numeric_candidate,cm; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
anthropometry.hip_circumference.ctv3,anthropometry,hip_circumference,ctv3,gp_clinical,read_3,exact,true,Xa2jZ,Hip circumference,Hip circumference,Hip circumference,core,numeric_candidate,cm; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
