trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
haematology.haemoglobin.ctv3,haematology,haemoglobin,ctv3,gp_clinical,read_3,exact,true,.423.,Hb estimation,Haemoglobin estimation (& level) | Haemoglobin estimation | Hb estimation,core,numeric_candidate,g/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.haemoglobin.ctv3,haematology,haemoglobin,ctv3,gp_clinical,read_3,exact,true,423..,Hb estimation,Haemoglobin estimation (& level) | Haemoglobin estimation | Hb estimation,core,numeric_candidate,g/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.haemoglobin.ctv3,haematology,haemoglobin,ctv3,gp_clinical,read_3,exact,true,XE2m6,Haemoglobin estimation,Haemoglobin estimation,core,numeric_candidate,g/L; verify source unit,read_ctv3_lkp,S,candidate_requires_clinical_review
haematology.haemoglobin.ctv3,haematology,haemoglobin,ctv3,gp_clinical,read_3,exact,true,XM1Vu,Hb estimation,Hb estimation,core,numeric_candidate,g/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
haematology.haemoglobin.ctv3,haematology,haemoglobin,ctv3,gp_clinical,read_3,exact,true,Xa96v,Hb - Haemoglobin concentration,Haemoglobin concentration | Haemoglobin level | Hb - Haemoglobin level | Hb - Haemoglobin concentration,core,numeric_candidate,g/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
