trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
thyroid.free_t3.ctv3,thyroid,free_t3,ctv3,gp_clinical,read_3,exact,true,.4425,FT3 - Free triiodothyronine level,Free triiodothyronine level | FT3 - Free triiodothyronine level,core,numeric_candidate,pmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.free_t3.ctv3,thyroid,free_t3,ctv3,gp_clinical,read_3,exact,true,.442U,Serum free T3 level,Serum free triiodothyronine level | Serum free T3 level,core,numeric_candidate,pmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.free_t3.ctv3,thyroid,free_t3,ctv3,gp_clinical,read_3,exact,true,.442Y,Plasma free T3 level,Plasma free triiodothyronine level | Plasma free T3 level,core,numeric_candidate,pmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.free_t3.ctv3,thyroid,free_t3,ctv3,gp_clinical,read_3,exact,true,4425.,FT3 - Free triiodothyronine level,Free triiodothyronine level | FT3 - Free triiodothyronine level,core,numeric_candidate,pmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.free_t3.ctv3,thyroid,free_t3,ctv3,gp_clinical,read_3,exact,true,442U.,Serum free T3 level,Serum free triiodothyronine level | Serum free T3 level,core,numeric_candidate,pmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.free_t3.ctv3,thyroid,free_t3,ctv3,gp_clinical,read_3,exact,true,442Y.,Plasma free T3 level,Plasma free triiodothyronine level | Plasma free T3 level,core,numeric_candidate,pmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.free_t3.ctv3,thyroid,free_t3,ctv3,gp_clinical,read_3,exact,true,XaERq,Serum free T3 level,Serum free triiodothyronine level | Serum free T3 level,core,numeric_candidate,pmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.free_t3.ctv3,thyroid,free_t3,ctv3,gp_clinical,read_3,exact,true,XaERt,Plasma free T3 level,Plasma free triiodothyronine level | Plasma free T3 level,core,numeric_candidate,pmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.free_t3.ctv3,thyroid,free_t3,ctv3,gp_clinical,read_3,exact,true,X80Gh,Free triiodothyronine,Free triiodothyronine | FT3 - Free triiodothyronine,extended_review,numeric_candidate,pmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
