trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
thyroid.free_t3.read_v2,thyroid,free_t3,read_v2,gp_clinical,read_2,exact,true,4425.,Free T3 level,Free T3 level,core,numeric_candidate,pmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
thyroid.free_t3.read_v2,thyroid,free_t3,read_v2,gp_clinical,read_2,exact,true,442U.,Serum free triiodothyronine level,Serum free triiodothyronine level,core,numeric_candidate,pmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
thyroid.free_t3.read_v2,thyroid,free_t3,read_v2,gp_clinical,read_2,exact,true,442Y.,Plasma free triiodothyronine level,Plasma free triiodothyronine level,core,numeric_candidate,pmol/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
