code	description	recommended_use
.44G3	ALT/SGPT serum level	DEFAULT - use as a direct numeric alanine aminotransferase (alt) measurement; verify the recorded unit.
.44GA	Plasma alanine aminotransferase level	DEFAULT - use as a direct numeric alanine aminotransferase (alt) measurement; verify the recorded unit.
.44GB	ALT/SGPT serum level	DEFAULT - use as a direct numeric alanine aminotransferase (alt) measurement; verify the recorded unit.
44G3.	ALT/SGPT serum level	DEFAULT - use as a direct numeric alanine aminotransferase (alt) measurement; verify the recorded unit.
44GA.	Plasma alanine aminotransferase level	DEFAULT - use as a direct numeric alanine aminotransferase (alt) measurement; verify the recorded unit.
44GB.	ALT/SGPT serum level	DEFAULT - use as a direct numeric alanine aminotransferase (alt) measurement; verify the recorded unit.
X771d	Alanine transaminase level	DEFAULT - use as a direct numeric alanine aminotransferase (alt) measurement; verify the recorded unit.
XaIRi	Plasma alanine aminotransferase level	DEFAULT - use as a direct numeric alanine aminotransferase (alt) measurement; verify the recorded unit.
XaLJx	ALT/SGPT serum level	DEFAULT - use as a direct numeric alanine aminotransferase (alt) measurement; verify the recorded unit.
