trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
renal.albumin_creatinine_ratio.ctv3,renal,albumin_creatinine_ratio,ctv3,gp_clinical,read_3,exact,true,.44J7,Albumin/creatinine ratio,Albumin/creatinine ratio,core,numeric_candidate,mg/mmol; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.albumin_creatinine_ratio.ctv3,renal,albumin_creatinine_ratio,ctv3,gp_clinical,read_3,exact,true,.46TC,Urine albumin:creatinine ratio,Urine albumin:creatinine ratio (& level) | Urine albumin:creatinine ratio,core,numeric_candidate,mg/mmol; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.albumin_creatinine_ratio.ctv3,renal,albumin_creatinine_ratio,ctv3,gp_clinical,read_3,exact,true,.46TD,Urine microalbumin:creatinine ratio,Urine microalbumin:creatinine ratio (& level) | Urine microalbumin:creatinine ratio,core,numeric_candidate,mg/mmol; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.albumin_creatinine_ratio.ctv3,renal,albumin_creatinine_ratio,ctv3,gp_clinical,read_3,exact,true,44J7.,Albumin/creatinine ratio,Albumin/creatinine ratio,core,numeric_candidate,mg/mmol; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.albumin_creatinine_ratio.ctv3,renal,albumin_creatinine_ratio,ctv3,gp_clinical,read_3,exact,true,46TC.,Urine albumin:creatinine ratio,Urine albumin:creatinine ratio (& level) | Urine albumin:creatinine ratio,core,numeric_candidate,mg/mmol; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.albumin_creatinine_ratio.ctv3,renal,albumin_creatinine_ratio,ctv3,gp_clinical,read_3,exact,true,46TD.,Urine microalbumin:creatinine ratio,Urine microalbumin:creatinine ratio (& level) | Urine microalbumin:creatinine ratio,core,numeric_candidate,mg/mmol; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.albumin_creatinine_ratio.ctv3,renal,albumin_creatinine_ratio,ctv3,gp_clinical,read_3,exact,true,X773Y,Albumin/creatinine ratio,Albumin/creatinine ratio,core,numeric_candidate,mg/mmol; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.albumin_creatinine_ratio.ctv3,renal,albumin_creatinine_ratio,ctv3,gp_clinical,read_3,exact,true,XE2n3,Urine albumin:creatinine ratio,Urine albumin/creatinine ratio | Urine albumin:creatinine ratio,core,numeric_candidate,mg/mmol; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
renal.albumin_creatinine_ratio.ctv3,renal,albumin_creatinine_ratio,ctv3,gp_clinical,read_3,exact,true,XE2n4,Urine microalbumin/creatinine ratio,Urine microalbumin/creatinine ratio,core,numeric_candidate,mg/mmol; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
