trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
lipids.hdl_cholesterol.read_v2,lipids,hdl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44P5.,Serum HDL cholesterol level,Serum HDL cholesterol level,Serum HDL cholesterol level,core,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
lipids.hdl_cholesterol.read_v2,lipids,hdl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44PB.,Serum fasting HDL cholesterol level,Serum fasting HDL cholesterol level,Serum fasting HDL cholesterol level,core,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
lipids.hdl_cholesterol.read_v2,lipids,hdl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44PC.,Serum random HDL cholesterol level,Serum random HDL cholesterol level,Serum random HDL cholesterol level,core,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
lipids.hdl_cholesterol.read_v2,lipids,hdl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44d2.,Plasma random HDL cholesterol level,Plasma random HDL cholesterol level,Plasma random HDL cholesterol level,core,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
lipids.hdl_cholesterol.read_v2,lipids,hdl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44d3.,Plasma fasting HDL cholesterol level,Plasma fasting HDL cholesterol level,Plasma fasting HDL cholesterol level,core,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
lipids.hdl_cholesterol.read_v2,lipids,hdl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44dA.,Plasma HDL cholesterol level,Plasma HDL cholesterol level,Plasma HDL cholesterol level,core,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
lipids.hdl_cholesterol.read_v2,lipids,hdl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44PL0,Serum non high density lipoprotein cholesterol level,Serum non high density lipoprotein cholesterol level,Serum non high density lipoprotein cholesterol level,extended_review,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
lipids.hdl_cholesterol.read_v2,lipids,hdl_cholesterol,read_v2,gp_clinical,read_2,exact,true,44PL1,Estimated serum non-high density lipoprotein cholesterol level,Estimated serum non-high density lipoprotein cholesterol level,Estimated serum non-high density lipoprotein cholesterol level,extended_review,numeric_candidate,mmol/L,read_v2_lkp,00,candidate_requires_clinical_review
