trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
liver.albumin.read_v2,liver,albumin,read_v2,gp_clinical,read_2,exact,true,44M4.,Serum albumin,Serum albumin,core,numeric_candidate,g/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
liver.albumin.read_v2,liver,albumin,read_v2,gp_clinical,read_2,exact,true,44MI.,Plasma albumin level,Plasma albumin level,core,numeric_candidate,g/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
liver.albumin.read_v2,liver,albumin,read_v2,gp_clinical,read_2,exact,true,44M40,Serum albumin normal,Serum albumin normal,extended_review,numeric_candidate,g/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
liver.albumin.read_v2,liver,albumin,read_v2,gp_clinical,read_2,exact,true,44M41,Serum albumin low,Serum albumin low,extended_review,numeric_candidate,g/L; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
