trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,all_lookup_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
thyroid.thyroid_peroxidase_antibody.ctv3,thyroid,thyroid_peroxidase_antibody,ctv3,gp_clinical,read_3,exact,true,.43Gd,Thyroid peroxidase antibody level,Thyroid peroxidase antibody level,Thyroid peroxidase antibody level,core,numeric_candidate,IU/mL or kIU/L; verify assay,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.thyroid_peroxidase_antibody.ctv3,thyroid,thyroid_peroxidase_antibody,ctv3,gp_clinical,read_3,exact,true,43Gd.,Thyroid peroxidase antibody level,Thyroid peroxidase antibody level,Thyroid peroxidase antibody level,core,numeric_candidate,IU/mL or kIU/L; verify assay,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.thyroid_peroxidase_antibody.ctv3,thyroid,thyroid_peroxidase_antibody,ctv3,gp_clinical,read_3,exact,true,43Gd0,Serum thyroid peroxidase antibody concentration,Serum thyroid peroxidase antibody concentration,Serum thyroid peroxidase antibody concentration,core,numeric_candidate,IU/mL or kIU/L; verify assay,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.thyroid_peroxidase_antibody.ctv3,thyroid,thyroid_peroxidase_antibody,ctv3,gp_clinical,read_3,exact,true,XaDvU,Thyroid peroxidase antibody level,Thyroid peroxidase antibody level,Thyroid peroxidase antibody level,core,numeric_candidate,IU/mL or kIU/L; verify assay,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.thyroid_peroxidase_antibody.ctv3,thyroid,thyroid_peroxidase_antibody,ctv3,gp_clinical,read_3,exact,true,XabCy,Serum thyroid peroxidase antibody concentration,Serum thyroid peroxidase antibody concentration,Serum thyroid peroxidase antibody concentration,core,numeric_candidate,IU/mL or kIU/L; verify assay,read_ctv3_lkp,P,candidate_requires_clinical_review
thyroid.thyroid_peroxidase_antibody.ctv3,thyroid,thyroid_peroxidase_antibody,ctv3,gp_clinical,read_3,exact,true,X80cz,Thyroid peroxidase antibody,Thyroid peroxidase antibody | TPO - Thyroid peroxidase antibody,Thyroid peroxidase antibody | TPO - Thyroid peroxidase antibody | Thyroid microsomal antibody,extended_review,numeric_candidate,IU/mL or kIU/L; verify assay,read_ctv3_lkp,P,candidate_requires_clinical_review
