trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
anthropometry.body_weight.read_v2,anthropometry,body_weight,read_v2,gp_clinical,read_2,exact,true,22A..,O/E - weight,O/E - weight,core,numeric_candidate,kg; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
anthropometry.body_weight.read_v2,anthropometry,body_weight,read_v2,gp_clinical,read_2,exact,true,22AZ.,O/E - weight NOS,O/E - weight NOS,extended_review,numeric_candidate,kg; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
anthropometry.body_weight.read_v2,anthropometry,body_weight,read_v2,gp_clinical,read_2,exact,true,29N..,O/E - weight-bearing,O/E - weight-bearing,extended_review,numeric_candidate,kg; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
anthropometry.body_weight.read_v2,anthropometry,body_weight,read_v2,gp_clinical,read_2,exact,true,8IAH.,Body weight measurement declined,Body weight measurement declined,extended_review,numeric_candidate,kg; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
anthropometry.body_weight.read_v2,anthropometry,body_weight,read_v2,gp_clinical,read_2,exact,true,9NSa.,Unsuitable for body weight measurement,Unsuitable for body weight measurement,extended_review,numeric_candidate,kg; verify source unit,read_v2_lkp,00,candidate_requires_clinical_review
