trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.44Q.,Serum triglycerides,Serum triglycerides (& level) | Serum triglycerides,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.44e.,Plasma triglyceride level,Plasma triglyceride level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,44Q..,Serum triglycerides,Serum triglycerides (& level) | Serum triglycerides,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,44e..,Plasma triglyceride level,Plasma triglyceride level,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,XE2q9,Serum triglycerides,Serum triglyceride levels | Serum triglycerides,core,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.44O8,Plasma VLDL triglyceride level,Plasma VLDL triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.44OB,Serum VLDL triglyceride level,Serum VLDL triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.44Q1,Serum triglycerides normal,Serum triglycerides normal,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.44Q2,Serum triglycerides borderline,Serum triglycerides borderline,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.44Q3,Serum triglycerides raised,Serum triglycerides raised,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.44Q4,Serum fasting triglyceride level,Serum fasting triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.44Q5,Serum random triglyceride level,Serum random triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.44QZ,Serum triglycerides NOS,Serum triglycerides NOS,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.44e0,Plasma random triglyceride level,Plasma random triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.44e1,Plasma fasting triglyceride level,Plasma fasting triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.4I3W,Fluid sample triglyceride level,Fluid sample triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,.4QA1,Triglyceride level,Triglyceride level | TG - Triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,44O8.,Plasma VLDL triglyceride level,Plasma VLDL triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,44OB.,Serum VLDL triglyceride level,Serum VLDL triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,44Q1.,Serum triglycerides normal,Serum triglycerides normal,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,44Q2.,Serum triglycerides borderline,Serum triglycerides borderline,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,44Q3.,Serum triglycerides raised,Serum triglycerides raised,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,44Q4.,Serum fasting triglyceride level,Serum fasting triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,44Q5.,Serum random triglyceride level,Serum random triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,44QZ.,Serum triglycerides NOS,Serum triglycerides NOS,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,44e0.,Plasma random triglyceride level,Plasma random triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,44e1.,Plasma fasting triglyceride level,Plasma fasting triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,4I3W.,Fluid sample triglyceride level,Fluid sample triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,4QA1.,Triglyceride level,Triglyceride level | TG - Triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,X772O,Triglyceride level,Triglyceride level | TG - Triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,XaENH,Serum VLDL triglyceride level,Serum VLDL triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,XaERk,Plasma VLDL triglyceride level,Plasma VLDL triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,XaJjP,Fluid sample triglyceride level,Fluid sample triglyceride level,extended_review,numeric_candidate,mmol/L,read_ctv3_lkp,P,candidate_requires_clinical_review
